City,Population(2011),State
Mumbai,"1,24,42,373",Maharashtra
Delhi,"1,10,07,835",Delhi
Bangalore,"84,36,675",Karnataka
Hyderabad,"68,09,970",Telangana
Ahmedabad,"55,70,585",Gujarat
Chennai,"46,81,087",Tamil Nadu
Kolkata,"44,86,679",West Bengal
Surat,"44,67,797",Gujarat
Pune,"31,24,458",Maharashtra
Jaipur,"30,46,163",Rajasthan
Visakhapatnam,"29,82,904",Andhra Pradesh
Nagpur,"24,05,665",Maharashtra
Lucknow,"23,17,105",Uttar Pradesh
Kanpur,"22,65,348",Uttar Pradesh
Thane,"18,41,488",Maharashtra
Bhopal,"17,98,218",Madhya Pradesh
Indore,"16,64,086",Madhya Pradesh
Pimpri-Chinchwad,"17,27,692",Maharashtra
Patna,"16,84,222",Bihar
Vadodara,"16,70,806",Gujarat
Ghaziabad,"16,48,643",Uttar Pradesh
Ludhiana,"16,18,879",Punjab
Agra,"15,85,704",Uttar Pradesh
Nashik,"14,86,053",Maharashtra
Faridabad,"14,14,050",Haryana
Meerut,"13,05,429",Uttar Pradesh
Rajkot,"12,86,678",Gujarat
Kalyan-Dombivli,"12,47,327",Maharashtra
Vasai-Virar,"12,22,390",Maharashtra
Varanasi,"12,01,815",Uttar Pradesh
Srinagar,"11,80,570",Jammu and Kashmir
Aurangabad,"11,75,116",Maharashtra
Dhanbad,"11,62,472",Jharkhand
Amritsar,"11,32,383",Punjab
Navi Mumbai,"11,20,547",Maharashtra
Allahabad,"11,12,544",Uttar Pradesh
Howrah,"10,77,075",West Bengal
Ranchi,"10,73,427",Jharkhand
Gwalior,"10,69,276",Madhya Pradesh
Jabalpur,"10,55,525",Madhya Pradesh
Coimbatore,"10,50,721",Tamil Nadu
Vijayawada,"10,34,358",Andhra Pradesh
Jodhpur,"10,33,918",Rajasthan
Madurai,"10,17,865",Tamil Nadu
Raipur,"10,10,087",Chhattisgarh
Chandigarh,"10,28,667",Chandigarh
Guwahati,"9,57,352",Assam
Solapur,"9,51,558",Maharashtra
Hubli–Dharwad,"9,43,788",Karnataka
Mysore,"9,20,550",Karnataka
Tiruchirappalli,"9,16,674",Tamil Nadu
Bareilly,"8,98,167",Uttar Pradesh
Aligarh,"8,89,810",Uttar Pradesh
Tiruppur,"8,77,778",Tamil Nadu
Gurgaon,"8,76,824",Haryana
Moradabad,"8,72,575",Uttar Pradesh
Jalandhar,"8,62,196",Punjab
Bhubaneswar,"8,37,737",Odisha
Salem,"8,31,038",Tamil Nadu
Warangal,"8,30,281",Telangana
Mira-Bhayandar,"8,14,655",Maharashtra
Jalgaon,"7,98,514",Maharashtra
Kota,"7,43,556",Rajasthan
Guntur,"7,43,354",Andhra Pradesh
Bhiwandi,"7,11,329",Maharashtra
Saharanpur,"7,03,345",Uttar Pradesh
Gorakhpur,"6,71,048",Uttar Pradesh
Bikaner,"6,47,804",Rajasthan
Amravati,"6,46,801",Maharashtra
Noida,"6,42,381",Uttar Pradesh
Jamshedpur,"6,31,364",Jharkhand
Bhilai,"6,25,697",Chhattisgarh
Cuttack,"6,06,007",Odisha
Firozabad,"6,03,797",Uttar Pradesh
Kochi,"6,01,574",Kerala
Nellore,"6,00,869",Andhra Pradesh
Bhavnagar,"5,93,768",Gujarat
Dehradun,"5,78,420",Uttarakhand
Durgapur,"5,66,937",West Bengal
Asansol,"5,64,491",West Bengal
Rourkela,"5,52,734",Odisha
Nanded,"5,50,564",Maharashtra
Kolhapur,"5,49,283",Maharashtra
Ajmer,"5,42,580",Rajasthan
Akola,"5,37,149",Maharashtra
Gulbarga,"5,32,031",Karnataka
Jamnagar,"5,29,308",Gujarat
Ujjain,"5,15,215",Madhya Pradesh
Loni,"5,12,296",Uttar Pradesh
Siliguri,"5,09,709",West Bengal
Jhansi,"5,07,293",Uttar Pradesh
Ulhasnagar,"5,06,937",Maharashtra
Jammu,"5,03,690",Jammu and Kashmir
Sangli-Miraj & Kupwad,"5,02,697",Maharashtra
Mangalore,"4,99,486",Karnataka
Erode,"4,98,129",Tamil Nadu
Belgaum,"4,88,292",Karnataka
Ambattur,"4,78,134",Tamil Nadu
Tirunelveli,"4,73,637",Tamil Nadu
Malegaon,"4,71,006",Maharashtra
Gaya,"4,63,454",Bihar
Thiruvananthapuram,"4,60,468",Kerala
Udaipur,"4,51,735",Rajasthan
Kakinada,"4,43,028",Andhra Pradesh
Davanagere,"4,35,128",Karnataka
Kozhikode,"4,32,097",Kerala
Maheshtala,"4,29,423",West Bengal
Rajpur Sonarpur,"4,23,806",West Bengal
Rajahmundry,"4,19,818",Andhra Pradesh
Bokaro,"4,13,934",Jharkhand
South Dumdum,"4,10,524",West Bengal
Bellary,"4,09,644",Karnataka
Patiala,"4,05,164",Punjab
Gopalpur,"4,04,991",West Bengal
Agartala,"3,99,688",Tripura
Bhagalpur,"3,98,138",Bihar
Muzaffarnagar,"3,92,451",Uttar Pradesh
Bhatpara,"3,90,467",West Bengal
Panihati,"3,83,522",West Bengal
Latur,"3,82,754",Maharashtra
Dhule,"3,76,093",Maharashtra
Tirupati,"3,74,260",Andhra Pradesh
Rohtak,"3,73,133",Haryana
Sagar,"3,70,296",Madhya Pradesh
Korba,"3,63,210",Chhattisgarh
Bhilwara,"3,60,009",Rajasthan
Berhampur,"3,55,823",Odisha
Muzaffarpur,"3,51,838",Bihar
Ahmednagar,"3,50,905",Maharashtra
Mathura,"3,49,336",Uttar Pradesh
Kollam,"3,49,033",Kerala
Avadi,"3,44,701",Tamil Nadu
Kadapa,"3,43,054",Andhra Pradesh
Kamarhati,"3,36,579",West Bengal
Sambalpur,"3,35,761",Odisha
