Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Afghanistan,33,65,20-03-2020,24
,Afghanistan,33,65,19-03-2020,22
,Afghanistan,33,65,18-03-2020,22
,Afghanistan,33,65,17-03-2020,22
,Afghanistan,33,65,16-03-2020,21
,Afghanistan,33,65,15-03-2020,16
,Afghanistan,33,65,14-03-2020,11
,Afghanistan,33,65,13-03-2020,7
,Afghanistan,33,65,12-03-2020,7
,Afghanistan,33,65,11-03-2020,7
,Afghanistan,33,65,10-03-2020,5
,Afghanistan,33,65,09-03-2020,4
,Afghanistan,33,65,08-03-2020,4
,Afghanistan,33,65,07-03-2020,1
,Afghanistan,33,65,06-03-2020,1
,Afghanistan,33,65,05-03-2020,1
,Afghanistan,33,65,04-03-2020,1
,Afghanistan,33,65,03-03-2020,1
,Afghanistan,33,65,02-03-2020,1
,Afghanistan,33,65,01-03-2020,1
,Afghanistan,33,65,29-02-2020,1
,Afghanistan,33,65,28-02-2020,1
,Afghanistan,33,65,27-02-2020,1
,Afghanistan,33,65,26-02-2020,1
,Afghanistan,33,65,25-02-2020,1
,Afghanistan,33,65,24-02-2020,1
,Afghanistan,33,65,23-02-2020,0
,Afghanistan,33,65,22-02-2020,0
,Afghanistan,33,65,21-02-2020,0
,Afghanistan,33,65,20-02-2020,0
,Afghanistan,33,65,19-02-2020,0
,Afghanistan,33,65,18-02-2020,0
,Afghanistan,33,65,17-02-2020,0
,Afghanistan,33,65,16-02-2020,0
,Afghanistan,33,65,15-02-2020,0
,Afghanistan,33,65,14-02-2020,0
,Afghanistan,33,65,13-02-2020,0
,Afghanistan,33,65,12-02-2020,0
,Afghanistan,33,65,11-02-2020,0
,Afghanistan,33,65,10-02-2020,0
,Afghanistan,33,65,09-02-2020,0
,Afghanistan,33,65,08-02-2020,0
,Afghanistan,33,65,07-02-2020,0
,Afghanistan,33,65,06-02-2020,0
,Afghanistan,33,65,05-02-2020,0
,Afghanistan,33,65,04-02-2020,0
,Afghanistan,33,65,03-02-2020,0
,Afghanistan,33,65,02-02-2020,0
,Afghanistan,33,65,01-02-2020,0
,Afghanistan,33,65,31-01-2020,0
,Afghanistan,33,65,30-01-2020,0
,Afghanistan,33,65,29-01-2020,0
,Afghanistan,33,65,28-01-2020,0
,Afghanistan,33,65,27-01-2020,0
,Afghanistan,33,65,26-01-2020,0
,Afghanistan,33,65,25-01-2020,0
,Afghanistan,33,65,24-01-2020,0
,Afghanistan,33,65,23-01-2020,0
,Afghanistan,33,65,22-01-2020,0
,Albania,41.1533,20.1683,20-03-2020,70
,Albania,41.1533,20.1683,19-03-2020,64
,Albania,41.1533,20.1683,18-03-2020,59
,Albania,41.1533,20.1683,17-03-2020,55
,Albania,41.1533,20.1683,16-03-2020,51
,Albania,41.1533,20.1683,15-03-2020,42
,Albania,41.1533,20.1683,14-03-2020,38
,Albania,41.1533,20.1683,13-03-2020,33
,Albania,41.1533,20.1683,12-03-2020,23
,Albania,41.1533,20.1683,11-03-2020,12
,Albania,41.1533,20.1683,10-03-2020,10
,Albania,41.1533,20.1683,09-03-2020,2
,Albania,41.1533,20.1683,08-03-2020,0
,Albania,41.1533,20.1683,07-03-2020,0
,Albania,41.1533,20.1683,06-03-2020,0
,Albania,41.1533,20.1683,05-03-2020,0
,Albania,41.1533,20.1683,04-03-2020,0
,Albania,41.1533,20.1683,03-03-2020,0
,Albania,41.1533,20.1683,02-03-2020,0
,Albania,41.1533,20.1683,01-03-2020,0
,Albania,41.1533,20.1683,29-02-2020,0
,Albania,41.1533,20.1683,28-02-2020,0
,Albania,41.1533,20.1683,27-02-2020,0
,Albania,41.1533,20.1683,26-02-2020,0
,Albania,41.1533,20.1683,25-02-2020,0
,Albania,41.1533,20.1683,24-02-2020,0
